,questions,answers
0,Какой стране принадлежит знаменитый остров Пасхи?,Чили
1,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,'Роллинг Стоунз'
2,Где находится Летний сад?,Санкт-Петербург
3,Какой город является столицей Туркмении?,Ашхабад
4,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон
5,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Мексика
6,В каком виде спорта прославилась Курникова?,теннис
7,В каком городе родился Вольфганг Амадей Моцарт?,Зальцбург
8,В каком городе убили Джона Леннона?,Нью-Йорк
9,Гражданином какой страны был изобретатель телеграфного кода Морзе?,США
10,Как называлась столица Крымского ханства?,Бахчисарай
11,Как назывался корабль Хана Соло?,тысячелетний сокол
12,Какой музыкальный инструмент прославил имя Генри Стейнве?,рояль
13,"Какой стране принадлежит авиакомпания ""Malev""?",Венгрия
14,"Кто автор поэмы ""Энеида""?",Вергилий
15,"Кто автор романа ""Колыбель для кошки""?",Воннегут
16,"Кто написал роман ""Зима тревоги нашей""?",Джон Стейнбек
17,Кто первым открыл Южную Америку?,Колумб
18,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?",Гайдай
19,Кто создал одно из чудес света – статую Зевса в Афинах?,Фидий
20,Кто сражался с немейским львом?,Геракл
21,"Что на весь мир прославило маленькое парижское кафе ""Режанс""?",шахматы
22,"Кто автор ""Похождений бравого солдата Швейка""?",Гашек
23,"В каком государстве находится Океанографический музей Жак-Ива Кусто? ""в ...""",Монако
24,Где расположена Академия наук Армении,Ереван
25,Какая столица стоит на берегу Потамака?,Вашингтон
26,Какой библейский царь живет и почитается в исламе под именем Дауд,Давид
27,Какой продукт составляет основу сырников,творог
28,На каком острове жила древнегреческая поэтесса Сапфо?,Лесбос
29,Какому государству принадлежит народный парк Беловежская пуща,Польша
30,В какой стране город Калькутта?,Индия
31,Что скрывается за всякой фобией?,страх
32,"Кто написал роман ""Великий Гэтсби""?",Ф. Скотт Фицджеральд
33,В какой стране находится крупный город Фейсалабад?,Пакистан
34,Как звали доктора Ватсона?,Джон
35,Как называется столица Китайской Народной Республики?,Пекин
36,"Кто автор сказки ""Бременские музыканты""?",Братья Гримм
37,Кто был воспитателем Александра Македонского?,Аристотель
38,Кто стал президентом российской федерации в 2012 году?,Путин
39,Кто играл гарри поттера,Дениел Редклиф
40,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер
41,"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский
42,Какая страна является родиной хереса?,Испания
43,К какой династии принадлежала английская королева Елизавета I?,Тюдоры
