,questions,answers
0,Что может вызвать цунами?,Землетрясение
1,Кто написал роман «Хижина дяди Тома»?,Г. Бичер-Стоу
2,Кто автор пьесы «Ромео и Джульетта»?,Шекспир
3,Как называется столица Румынии?,Бухарест
4,На каком инструменте играл Джимми Хендрикс?,Гитара
5,Какой стране принадлежит остров Таити?,Франции
6,Кто создал Зимний дворец в Санкт-Петербурге?,Растрелли
7,"Кто режиссер фильма ""Бриллиантовая рука""?",Л.Гайдай
8,Какой стране принадлежат Канарские острова?,Испания
9,Какой географический объект называется Лимпопо?,Река
10,"Какое современное государство занимает территорию, на которой находился древний ассирийский город Ниневия?",Ирак
11,По какой шкале измеряют силу землетрясений?,По шкале Рихтера
12,В какой стране впервые появилась игра в гольф?,Шотландия
13,Каким видом спорта увлекался президент РФ В.В.Путин?,Дзюдо
14,Как звали отца Северуса Снейпа?,Тоббиас Снегг (Снейп)
15,Как звали сына Драко?,Скорпиус Гиперион Малфой
16,Как звали маму Северуса Снейпа?,Эйлин Принц
17,Как звали создателя факультета Когтевран (Рейвенкло)?,Кандида Когтевран (Ровена Рэйвенкло)
18,Как звали дракончика Хагрида?,Норберт
19,Кто автор исторического романа 'Княжна Тараканова'?,Г. П. Данилевский
20,"Какой цвет имеет краска ""индиго""?",синий
21,На каком языке сочиняет стихи Расул Гамзатов?,На аварском
22,"Какой пролив древние греки называли ""Геркулесовы столбы""?",Гибралтар
23,С какой страной связано название БЛИСТАТЕЛЬНАЯ ПОРТА?,Турция
24,"Кто автор музыки к фильму ""Александр Невский""?",С. Прокофьев
25,В какой стране живут кхмеры?,Камбоджа
26,В какой стране находится гора Эверест?,Непал
27,В какой стране находится город Семипалатинск?,Казахстан
28,В какой стране находятся две великие реки – Тигр и Евфрат?,Ирак
29,В какой стране обитает кенгуру?,Австралия
30,В каком американском штате находится Большой Каньон?,Аризона
31,В каком виде спорта прославился Е. Кафельников?,теннис
32,В каком государстве находится город Сент-Питерсберг?,США
33,"В каком польском городе зародилось движение ""Солидарность""?",Гданьск
34,В каком романе Франсуа Рабле главного героя сопровождал персонаж по имени Панург?,Гаргантюа и Пантагрюэль
35,В каком штате США расположена самая длинная пещера в мире (530 км) с забавным названием Флинт-Мамонтова?,Кентукки
